,year,month,week,hour,report_date,shift,offense,method,district
250,2015,3,14,1,3/30/2015,MIDNIGHT,HOMICIDE,GUN,4
251,2014,12,49,3,12/04/2014,MIDNIGHT,SEX ABUSE,OTHERS,2
252,2014,2,9,5,2/27/2014,MIDNIGHT,SEX ABUSE,GUN,6
253,2011,6,23,15,06/04/2011,EVENING,SEX ABUSE,KNIFE,1
254,2011,4,21,0,5/21/2011,MIDNIGHT,HOMICIDE,GUN,2
255,2013,2,5,1,02/01/2013,MIDNIGHT,HOMICIDE,OTHERS,5
256,2015,8,32,0,08/05/2015,MIDNIGHT,SEX ABUSE,OTHERS,4
257,2014,5,25,0,6/15/2014,MIDNIGHT,HOMICIDE,GUN,7
258,2011,11,47,18,11/15/2011,EVENING,SEX ABUSE,OTHERS,3
259,2013,9,38,0,9/16/2013,MIDNIGHT,HOMICIDE,GUN,1
260,2015,12,53,23,12/27/2015,MIDNIGHT,SEX ABUSE,OTHERS,1
261,2011,10,43,5,10/18/2011,MIDNIGHT,HOMICIDE,GUN,5
262,2011,6,31,16,7/26/2011,EVENING,SEX ABUSE,OTHERS,3
263,2011,5,21,4,5/16/2011,MIDNIGHT,SEX ABUSE,OTHERS,1
264,2012,2,8,0,2/23/2012,MIDNIGHT,HOMICIDE,GUN,4
265,2012,11,44,13,11/02/2012,DAY,SEX ABUSE,KNIFE,3
266,2014,2,10,15,03/05/2014,EVENING,SEX ABUSE,OTHERS,4
267,2014,2,8,17,2/19/2014,EVENING,SEX ABUSE,OTHERS,5
268,2011,3,10,9,03/04/2011,DAY,SEX ABUSE,OTHERS,4
269,2011,9,37,7,09/06/2011,DAY,SEX ABUSE,GUN,6
270,2013,6,24,6,06/12/2013,MIDNIGHT,SEX ABUSE,KNIFE,4
271,2014,5,21,0,5/20/2014,MIDNIGHT,HOMICIDE,GUN,7
272,2013,7,31,1,7/28/2013,MIDNIGHT,SEX ABUSE,OTHERS,1
273,2015,9,38,0,9/17/2015,MIDNIGHT,HOMICIDE,KNIFE,6
274,2013,12,53,0,12/31/2013,MIDNIGHT,HOMICIDE,OTHERS,6
275,2015,9,36,0,09/03/2015,MIDNIGHT,SEX ABUSE,OTHERS,6
276,2013,4,16,15,4/17/2013,EVENING,SEX ABUSE,OTHERS,4
277,2015,12,52,5,12/21/2015,MIDNIGHT,SEX ABUSE,KNIFE,4
278,2016,5,21,6,5/17/2016,MIDNIGHT,HOMICIDE,GUN,6
279,2014,12,53,2,12/30/2014,MIDNIGHT,HOMICIDE,GUN,6
280,2013,7,35,23,8/29/2013,EVENING,SEX ABUSE,OTHERS,1
281,2012,6,26,23,6/24/2012,MIDNIGHT,SEX ABUSE,OTHERS,1
282,2013,7,32,9,08/06/2013,DAY,SEX ABUSE,OTHERS,1
283,2015,6,26,21,6/27/2015,EVENING,HOMICIDE,GUN,5
284,2012,9,36,0,09/02/2012,MIDNIGHT,HOMICIDE,KNIFE,1
285,2015,5,21,6,5/21/2015,MIDNIGHT,SEX ABUSE,KNIFE,2
286,2014,4,15,12,04/06/2014,DAY,SEX ABUSE,OTHERS,5
287,2012,1,1,6,01/01/2012,MIDNIGHT,HOMICIDE,OTHERS,6
288,2013,12,50,21,12/09/2013,EVENING,SEX ABUSE,OTHERS,4
289,2015,9,37,23,09/07/2015,MIDNIGHT,SEX ABUSE,OTHERS,3
290,2016,3,14,3,3/28/2016,MIDNIGHT,SEX ABUSE,OTHERS,1
291,2013,8,37,0,9/13/2013,MIDNIGHT,HOMICIDE,GUN,5
292,2012,2,9,19,2/26/2012,EVENING,SEX ABUSE,KNIFE,4
293,2013,6,26,18,6/23/2013,EVENING,SEX ABUSE,OTHERS,3
294,2012,9,38,14,9/16/2012,DAY,SEX ABUSE,OTHERS,6
295,2015,6,26,4,6/25/2015,MIDNIGHT,SEX ABUSE,GUN,5
296,2012,11,45,0,11/10/2012,MIDNIGHT,SEX ABUSE,OTHERS,6
297,2014,8,33,19,8/14/2014,EVENING,SEX ABUSE,OTHERS,4
298,2015,1,4,4,1/19/2015,MIDNIGHT,SEX ABUSE,OTHERS,7
299,2014,11,45,16,11/07/2014,EVENING,SEX ABUSE,OTHERS,7
300,2013,4,15,0,04/07/2013,MIDNIGHT,HOMICIDE,GUN,7
301,2011,8,36,0,8/28/2011,MIDNIGHT,HOMICIDE,GUN,5
302,2013,2,9,1,2/27/2013,MIDNIGHT,SEX ABUSE,OTHERS,5
303,2011,11,53,19,12/30/2011,EVENING,SEX ABUSE,GUN,7
304,2014,7,31,23,7/30/2014,MIDNIGHT,SEX ABUSE,OTHERS,6
305,2015,11,46,9,11/13/2015,DAY,HOMICIDE,OTHERS,5
306,2015,6,26,16,6/27/2015,EVENING,SEX ABUSE,OTHERS,4
307,2011,3,14,0,3/29/2011,MIDNIGHT,HOMICIDE,GUN,5
308,2013,5,19,3,05/05/2013,MIDNIGHT,HOMICIDE,GUN,7
309,2014,12,50,22,12/08/2014,EVENING,SEX ABUSE,OTHERS,1
310,2014,10,42,23,10/13/2014,MIDNIGHT,SEX ABUSE,OTHERS,3
311,2014,10,42,10,10/18/2014,DAY,SEX ABUSE,OTHERS,5
312,2014,5,21,21,5/20/2014,EVENING,SEX ABUSE,OTHERS,1
313,2013,10,40,0,10/04/2013,MIDNIGHT,SEX ABUSE,OTHERS,6
314,2015,4,18,0,4/26/2015,MIDNIGHT,HOMICIDE,GUN,4
315,2014,11,46,11,11/11/2014,DAY,SEX ABUSE,KNIFE,1
316,2013,8,35,23,8/28/2013,MIDNIGHT,SEX ABUSE,KNIFE,1
317,2011,10,44,22,10/23/2011,EVENING,SEX ABUSE,OTHERS,1
318,2013,4,17,2,4/23/2013,MIDNIGHT,SEX ABUSE,OTHERS,5
319,2015,5,19,12,05/04/2015,DAY,SEX ABUSE,OTHERS,4
320,2015,1,2,0,01/10/2015,MIDNIGHT,HOMICIDE,GUN,4
321,2016,2,12,14,3/13/2016,DAY,SEX ABUSE,OTHERS,7
322,2012,8,32,7,08/07/2012,MIDNIGHT,SEX ABUSE,OTHERS,5
323,2011,1,1,19,01/01/2011,EVENING,SEX ABUSE,GUN,6
324,2011,1,3,0,01/10/2011,MIDNIGHT,SEX ABUSE,OTHERS,6
325,2014,1,1,3,01/01/2014,MIDNIGHT,SEX ABUSE,OTHERS,2
326,2014,3,13,0,3/29/2014,MIDNIGHT,HOMICIDE,GUN,7
327,2014,9,40,1,9/28/2014,MIDNIGHT,SEX ABUSE,OTHERS,3
328,2013,10,43,3,10/25/2013,MIDNIGHT,SEX ABUSE,OTHERS,7
329,2011,1,4,6,1/21/2011,MIDNIGHT,HOMICIDE,OTHERS,7
330,2013,10,44,13,10/31/2013,DAY,SEX ABUSE,OTHERS,7
331,2015,6,27,18,6/29/2015,EVENING,SEX ABUSE,OTHERS,1
332,2013,9,36,3,09/04/2013,MIDNIGHT,HOMICIDE,GUN,1
333,2013,2,9,0,2/25/2013,MIDNIGHT,HOMICIDE,GUN,1
334,2012,10,42,7,10/17/2012,DAY,SEX ABUSE,GUN,6
335,2011,7,31,16,7/26/2011,EVENING,SEX ABUSE,OTHERS,3
336,2015,1,4,0,1/19/2015,MIDNIGHT,HOMICIDE,GUN,7
337,2015,6,26,6,6/24/2015,MIDNIGHT,HOMICIDE,GUN,5
338,2015,12,51,3,12/18/2015,MIDNIGHT,HOMICIDE,GUN,5
339,2011,8,35,1,8/27/2011,MIDNIGHT,SEX ABUSE,OTHERS,2
340,2015,3,13,2,3/22/2015,MIDNIGHT,HOMICIDE,KNIFE,5
341,2013,1,8,5,2/22/2013,MIDNIGHT,HOMICIDE,OTHERS,6
342,2014,3,14,19,3/31/2014,EVENING,SEX ABUSE,OTHERS,7
343,2012,8,33,15,8/17/2012,DAY,SEX ABUSE,OTHERS,1
344,2013,8,33,7,8/16/2013,DAY,SEX ABUSE,OTHERS,5
345,2013,12,51,18,12/16/2013,EVENING,SEX ABUSE,OTHERS,7
346,2014,3,15,14,04/12/2014,DAY,SEX ABUSE,OTHERS,2
347,2016,5,21,0,5/16/2016,MIDNIGHT,HOMICIDE,GUN,6
348,2011,9,39,7,9/19/2011,DAY,SEX ABUSE,KNIFE,5
349,2013,10,44,3,10/30/2013,MIDNIGHT,SEX ABUSE,GUN,6
350,2014,10,43,1,10/25/2014,MIDNIGHT,HOMICIDE,GUN,5
351,2014,3,10,0,03/05/2014,MIDNIGHT,HOMICIDE,GUN,4
352,2013,1,4,17,1/24/2013,EVENING,SEX ABUSE,OTHERS,7
353,2014,2,7,0,2/14/2014,MIDNIGHT,SEX ABUSE,OTHERS,1
354,2012,11,45,2,11/04/2012,MIDNIGHT,SEX ABUSE,OTHERS,2
355,2015,4,15,1,04/05/2015,MIDNIGHT,SEX ABUSE,OTHERS,4
356,2013,12,52,3,12/28/2013,MIDNIGHT,SEX ABUSE,OTHERS,7
357,2012,9,39,1,9/25/2012,MIDNIGHT,HOMICIDE,OTHERS,1
358,2013,11,46,11,11/13/2013,DAY,SEX ABUSE,OTHERS,6
359,2014,4,16,0,4/19/2014,MIDNIGHT,HOMICIDE,KNIFE,7
360,2013,6,23,17,06/05/2013,EVENING,SEX ABUSE,OTHERS,4
361,2012,6,26,0,6/25/2012,MIDNIGHT,HOMICIDE,KNIFE,6
362,2013,11,45,1,11/03/2013,MIDNIGHT,HOMICIDE,GUN,7
363,2014,7,29,1,7/13/2014,MIDNIGHT,HOMICIDE,GUN,7
364,2014,6,25,0,6/17/2014,MIDNIGHT,HOMICIDE,OTHERS,3
365,2014,8,32,23,08/03/2014,MIDNIGHT,SEX ABUSE,OTHERS,7
366,2012,0,4,16,1/23/2012,EVENING,SEX ABUSE,OTHERS,6
367,2012,3,12,0,3/23/2012,MIDNIGHT,SEX ABUSE,KNIFE,7
368,2014,8,35,22,8/25/2014,EVENING,SEX ABUSE,OTHERS,1
369,2012,8,32,20,08/10/2012,EVENING,SEX ABUSE,OTHERS,5
370,2015,7,30,10,7/25/2015,DAY,SEX ABUSE,OTHERS,5
371,2013,11,49,10,12/05/2013,DAY,SEX ABUSE,OTHERS,7
372,2011,11,50,0,12/04/2011,MIDNIGHT,HOMICIDE,KNIFE,5
373,2015,8,34,0,8/20/2015,MIDNIGHT,HOMICIDE,GUN,7
374,2012,12,52,21,12/27/2012,EVENING,SEX ABUSE,OTHERS,6
375,2015,2,9,11,2/22/2015,DAY,SEX ABUSE,OTHERS,2
376,2014,3,14,11,3/30/2014,DAY,SEX ABUSE,OTHERS,2
377,2016,3,11,6,03/12/2016,MIDNIGHT,SEX ABUSE,OTHERS,3
378,2012,3,18,11,04/05/2012,DAY,SEX ABUSE,OTHERS,1
379,2015,5,20,0,5/13/2015,MIDNIGHT,HOMICIDE,GUN,7
380,2011,9,42,10,10/12/2011,DAY,SEX ABUSE,OTHERS,1
381,2013,4,21,0,5/25/2013,MIDNIGHT,SEX ABUSE,OTHERS,7
382,2011,8,34,22,8/18/2011,EVENING,SEX ABUSE,OTHERS,3
383,2016,1,1,5,01/01/2016,MIDNIGHT,SEX ABUSE,OTHERS,6
384,2015,7,31,16,7/27/2015,EVENING,SEX ABUSE,OTHERS,2
385,2015,5,22,4,5/25/2015,MIDNIGHT,SEX ABUSE,OTHERS,2
386,2012,9,39,19,9/27/2012,EVENING,SEX ABUSE,OTHERS,7
387,2015,5,19,21,05/07/2015,EVENING,SEX ABUSE,OTHERS,4
388,2011,10,41,14,10/04/2011,DAY,SEX ABUSE,OTHERS,1
389,2013,9,38,5,9/16/2013,MIDNIGHT,HOMICIDE,GUN,1
390,2016,4,17,2,4/19/2016,MIDNIGHT,SEX ABUSE,OTHERS,1
391,2013,3,12,16,3/23/2013,EVENING,SEX ABUSE,OTHERS,1
392,2014,4,14,3,04/02/2014,MIDNIGHT,SEX ABUSE,OTHERS,4
393,2012,9,36,0,09/02/2012,MIDNIGHT,SEX ABUSE,OTHERS,4
394,2012,8,31,0,08/04/2012,MIDNIGHT,HOMICIDE,GUN,7
395,2014,9,37,4,09/11/2014,MIDNIGHT,HOMICIDE,GUN,6
396,2016,3,12,6,3/14/2016,MIDNIGHT,SEX ABUSE,OTHERS,7
397,2011,6,27,22,6/29/2011,EVENING,SEX ABUSE,OTHERS,7
398,2016,3,10,22,03/05/2016,EVENING,SEX ABUSE,KNIFE,4
399,2013,11,44,1,11/01/2013,MIDNIGHT,HOMICIDE,GUN,4
400,2015,9,41,14,10/06/2015,DAY,SEX ABUSE,OTHERS,3
401,2013,7,30,2,7/26/2013,MIDNIGHT,HOMICIDE,GUN,3
402,2015,8,40,0,9/27/2015,MIDNIGHT,HOMICIDE,GUN,7
403,2012,3,16,2,4/17/2012,MIDNIGHT,SEX ABUSE,OTHERS,5
404,2014,12,53,1,12/29/2014,MIDNIGHT,SEX ABUSE,GUN,7
405,2015,10,43,5,10/22/2015,MIDNIGHT,HOMICIDE,KNIFE,5
406,2015,9,36,7,09/04/2015,DAY,SEX ABUSE,OTHERS,7
407,2013,6,23,3,06/04/2013,MIDNIGHT,HOMICIDE,GUN,3
408,2014,7,28,5,07/06/2014,MIDNIGHT,SEX ABUSE,OTHERS,3
409,2012,5,19,6,05/07/2012,MIDNIGHT,SEX ABUSE,OTHERS,6
410,2011,7,36,10,8/28/2011,DAY,SEX ABUSE,OTHERS,2
411,2011,11,50,0,12/10/2011,MIDNIGHT,HOMICIDE,GUN,6
412,2013,12,51,9,12/21/2013,DAY,SEX ABUSE,KNIFE,5
413,2012,12,49,4,12/08/2012,MIDNIGHT,SEX ABUSE,OTHERS,7
414,2014,12,50,4,12/09/2014,MIDNIGHT,HOMICIDE,KNIFE,7
415,2012,4,21,10,5/26/2012,DAY,SEX ABUSE,OTHERS,6
416,2014,10,43,3,10/19/2014,MIDNIGHT,SEX ABUSE,OTHERS,2
417,2011,10,49,10,11/30/2011,DAY,SEX ABUSE,OTHERS,2
418,2013,4,18,20,4/29/2013,EVENING,SEX ABUSE,OTHERS,7
419,2014,4,14,22,04/03/2014,EVENING,SEX ABUSE,OTHERS,7
420,2014,3,14,0,3/31/2014,MIDNIGHT,HOMICIDE,GUN,6
421,2016,3,12,17,3/13/2016,EVENING,SEX ABUSE,OTHERS,6
422,2014,7,28,7,07/12/2014,DAY,SEX ABUSE,OTHERS,3
423,2014,2,6,17,02/03/2014,EVENING,SEX ABUSE,OTHERS,7
424,2014,5,21,20,5/21/2014,EVENING,SEX ABUSE,OTHERS,4
425,2015,11,45,4,11/02/2015,MIDNIGHT,HOMICIDE,OTHERS,1
426,2015,6,26,17,6/27/2015,EVENING,SEX ABUSE,OTHERS,7
427,2015,5,18,0,05/02/2015,MIDNIGHT,HOMICIDE,GUN,4
428,2015,8,34,4,8/21/2015,MIDNIGHT,SEX ABUSE,OTHERS,4
429,2015,4,15,6,04/07/2015,MIDNIGHT,SEX ABUSE,OTHERS,3
430,2014,2,6,10,02/02/2014,DAY,SEX ABUSE,GUN,3
431,2014,6,27,17,6/30/2014,EVENING,SEX ABUSE,OTHERS,6
432,2013,8,36,1,09/07/2013,MIDNIGHT,HOMICIDE,GUN,7
433,2014,8,35,10,8/26/2014,DAY,SEX ABUSE,OTHERS,5
434,2014,4,19,1,05/06/2014,MIDNIGHT,SEX ABUSE,GUN,6
435,2012,5,18,4,05/03/2012,MIDNIGHT,SEX ABUSE,OTHERS,5
436,2013,4,16,19,4/17/2013,EVENING,SEX ABUSE,OTHERS,2
437,2013,10,43,19,10/22/2013,EVENING,SEX ABUSE,OTHERS,5
438,2014,3,13,15,3/29/2014,EVENING,SEX ABUSE,KNIFE,5
439,2014,8,32,12,08/03/2014,DAY,SEX ABUSE,OTHERS,6
440,2015,5,21,18,5/22/2015,EVENING,SEX ABUSE,OTHERS,4
441,2014,7,28,6,07/07/2014,MIDNIGHT,SEX ABUSE,OTHERS,1
442,2012,1,3,0,1/18/2012,MIDNIGHT,HOMICIDE,OTHERS,3
443,2015,2,12,4,3/20/2015,MIDNIGHT,HOMICIDE,KNIFE,7
444,2012,5,22,9,5/31/2012,DAY,SEX ABUSE,OTHERS,1
445,2014,11,48,0,11/28/2014,MIDNIGHT,SEX ABUSE,OTHERS,3
446,2016,4,16,0,4/13/2016,MIDNIGHT,SEX ABUSE,OTHERS,7
447,2014,1,4,14,1/23/2014,DAY,SEX ABUSE,OTHERS,1
448,2012,7,27,9,07/06/2012,DAY,SEX ABUSE,OTHERS,6
449,2014,12,49,16,12/01/2014,EVENING,SEX ABUSE,OTHERS,6
450,2012,9,37,18,9/14/2012,EVENING,SEX ABUSE,OTHERS,4
451,2015,11,47,22,11/21/2015,EVENING,SEX ABUSE,KNIFE,3
452,2013,10,40,21,10/05/2013,EVENING,SEX ABUSE,OTHERS,3
453,2012,2,8,19,2/24/2012,EVENING,SEX ABUSE,OTHERS,4
454,2013,5,21,0,5/21/2013,MIDNIGHT,SEX ABUSE,KNIFE,1
455,2013,9,39,6,9/27/2013,MIDNIGHT,SEX ABUSE,OTHERS,5
456,2013,5,18,0,05/04/2013,MIDNIGHT,SEX ABUSE,OTHERS,7
457,2012,9,36,23,09/06/2012,MIDNIGHT,SEX ABUSE,GUN,6
458,2012,11,46,21,11/11/2012,EVENING,SEX ABUSE,OTHERS,7
459,2014,7,29,15,7/14/2014,EVENING,SEX ABUSE,OTHERS,1
460,2013,9,37,11,09/08/2013,DAY,SEX ABUSE,OTHERS,5
461,2013,7,29,13,7/17/2013,DAY,SEX ABUSE,OTHERS,2
462,2015,7,34,1,8/22/2015,MIDNIGHT,HOMICIDE,GUN,6
463,2015,8,31,0,08/01/2015,MIDNIGHT,HOMICIDE,GUN,6
464,2015,6,29,6,7/18/2015,MIDNIGHT,HOMICIDE,GUN,7
465,2014,9,36,5,09/02/2014,MIDNIGHT,SEX ABUSE,OTHERS,3
466,2015,1,3,0,01/11/2015,MIDNIGHT,HOMICIDE,GUN,5
467,2013,10,40,14,10/01/2013,DAY,SEX ABUSE,OTHERS,4
468,2015,7,28,2,07/08/2015,MIDNIGHT,HOMICIDE,GUN,6
469,2013,12,49,20,12/01/2013,EVENING,SEX ABUSE,OTHERS,2
470,2014,1,2,8,01/11/2014,DAY,SEX ABUSE,OTHERS,3
471,2014,8,38,0,9/18/2014,MIDNIGHT,HOMICIDE,OTHERS,7
472,2015,6,25,0,6/14/2015,MIDNIGHT,HOMICIDE,GUN,6
473,2013,5,18,17,05/01/2013,EVENING,SEX ABUSE,OTHERS,2
474,2014,12,51,2,12/15/2014,MIDNIGHT,SEX ABUSE,OTHERS,5
475,2012,6,30,0,7/27/2012,MIDNIGHT,HOMICIDE,OTHERS,6
476,2012,2,6,14,02/08/2012,DAY,SEX ABUSE,OTHERS,3
477,2012,4,17,0,4/25/2012,MIDNIGHT,SEX ABUSE,OTHERS,1
478,2014,3,10,18,03/03/2014,EVENING,SEX ABUSE,OTHERS,4
479,2013,9,38,0,9/16/2013,MIDNIGHT,HOMICIDE,GUN,1
480,2012,7,30,9,7/24/2012,DAY,SEX ABUSE,OTHERS,1
481,2012,5,19,2,05/10/2012,MIDNIGHT,SEX ABUSE,KNIFE,5
482,2011,2,8,0,2/19/2011,MIDNIGHT,HOMICIDE,GUN,3
483,2014,6,27,0,6/29/2014,MIDNIGHT,HOMICIDE,KNIFE,6
484,2015,7,28,5,07/06/2015,MIDNIGHT,SEX ABUSE,OTHERS,4
485,2012,1,2,0,01/08/2012,MIDNIGHT,HOMICIDE,GUN,6
486,2015,8,32,11,08/08/2015,DAY,SEX ABUSE,OTHERS,6
487,2013,8,33,13,8/13/2013,DAY,SEX ABUSE,OTHERS,3
488,2011,6,27,13,6/26/2011,DAY,SEX ABUSE,OTHERS,6
489,2016,3,16,14,4/13/2016,DAY,SEX ABUSE,OTHERS,1
490,2012,11,45,11,11/05/2012,DAY,SEX ABUSE,OTHERS,3
491,2014,6,24,8,6/13/2014,DAY,SEX ABUSE,KNIFE,4
492,2012,1,3,10,1/17/2012,DAY,SEX ABUSE,GUN,5
493,2015,5,21,2,5/22/2015,MIDNIGHT,HOMICIDE,KNIFE,5
494,2013,8,34,6,8/21/2013,MIDNIGHT,HOMICIDE,GUN,7
495,2013,7,34,16,8/21/2013,EVENING,SEX ABUSE,OTHERS,1
496,2015,6,24,0,6/13/2015,MIDNIGHT,SEX ABUSE,GUN,5
497,2014,9,39,10,9/27/2014,DAY,SEX ABUSE,OTHERS,3
498,2013,4,15,22,04/08/2013,EVENING,SEX ABUSE,OTHERS,2
499,2013,7,27,0,07/05/2013,MIDNIGHT,HOMICIDE,GUN,3
